well_name,X,Y,Coal_seam_depth,Coal_seam_thickness,Reservoir_pressure,Floor_sandstone,Roof_sandstone,Gas_saturation,Gas_content,Water_content,Ash,Porosity,Permeability,Desorption_pressure
华固1-6,644582,3959745,718.6599,6.472537,5.106625,70.98992,58.87386,73.14769,23.47287,1.108319,9.062825,6.513977,1.266832,2.741912
华固1-8,645174.8,3959694,751.3309,6.499464,4.9701,41.92125,36.3905,72.46529,24.99497,1.119199,9.387727,5.543485,0.707065,3.151017
华固17-1,643841.7,3963821,651.2997,6.949672,3.794664,55.59338,43.61895,76.08685,21.86355,1.116555,8.950965,6.883938,1.366716,2.387018
华固17-2,644530.4,3963394,620.2261,6.726577,4.091157,48.49827,72.03344,59.34625,19.93782,1.100151,9.188906,5.769771,0.988286,1.996904
华固17-3,644889.5,3963063,631.0654,6.625846,4.612092,51.30565,74.59573,70.60157,22.44226,1.108017,9.212908,5.68128,0.92819,2.562987
华固17-7,644755,3962842,612.184,6.55571,4.486983,55.19725,71.90204,61.83263,10.9836,1.055976,9.164882,6.437341,1.214302,0.94255
华固18-1,643951.8,3964058,651.9377,6.931234,3.814801,55.69495,40.50069,71.43805,21.04491,1.142314,8.887475,7.010128,1.423688,2.199546
华固18-2,644780.6,3963671,654.2101,6.805894,4.386598,35.60834,75.86182,61.82878,20.09495,1.107713,9.379295,4.706547,0.548774,2.069969
华固18-3,644886.4,3963395,642.0186,6.791222,4.532775,42.97629,74.51204,44.10528,19.35977,1.117792,9.349395,4.925676,0.66164,1.901488
华固18-4,645147.4,3963491,657.7941,6.798744,4.884168,35.61726,78.17325,55.57275,23.6269,1.029099,9.474103,4.063689,0.395535,2.792355
华固18-5,645253.2,3963146,642.8535,6.760539,5.059045,41.18835,75.07223,53.89102,22.11151,1.106991,9.369158,4.714432,0.600455,2.439605
华固18-6,645385.9,3962759,618.3813,6.677566,5.10954,45.91653,73.72055,65.16479,25.14955,1.123025,9.196561,5.961879,1.013932,3.170071
华固19-1,644003.8,3964345,651.009,6.794182,3.775611,56.58409,41.02837,70.56781,20.99159,1.118563,8.833998,6.915974,1.389201,2.195542
华固19-2,644279.8,3964279,644.3528,6.732695,3.621015,54.08001,47.22001,71.57056,20.29996,1.06095,8.926231,6.600466,1.261227,2.069962
华固19-3,644497.1,3964037,647.9315,6.834872,3.7159,43.43972,65.03918,58.50756,14.228,1.185499,9.174805,5.471827,0.842177,1.212197
华固19-4,644761.6,3963971,653.363,6.845663,4.147726,38.74739,70.71188,65.88823,21.27803,1.118972,9.287022,5.075873,0.673023,2.318127
华固19-5,645074,3963788,662.829,6.808432,4.864852,27.17457,81.7599,64.18713,22.61968,1.109912,9.39328,4.782635,0.462657,2.635424
华固19-6,645379.8,3963650,660.7424,6.783635,4.979875,32.42089,82.441,60.16024,24.69207,1.019769,9.681396,3.306504,0.241343,3.073069
华固19-7,645451.3,3963361,658.4391,6.781452,5.011548,38.75353,74.87774,64.55788,24.40514,1.069881,9.376765,4.119457,0.414522,2.984083
华固19-8,645543.2,3963066,620.4613,6.763274,4.89148,41.19718,75.22114,68.55666,23.49001,1.101659,9.25221,5.116407,0.762098,2.735083
华固2-12,643655.3,3960238,729.1464,6.736664,4.95675,71.75294,65.40414,77.38013,23.1001,1.108575,9.283325,5.97066,0.98939,2.671334
华固2-13,644008.3,3960021,726.2654,6.658895,5.079626,72.98841,60.66711,77.1664,24.04972,1.117485,9.241973,6.024059,0.998124,2.876335
华固2-14,644338.8,3959991,712.5095,6.538122,5.509243,76.60175,58.30606,62.09125,24.20842,1.125272,9.119703,6.531599,1.229047,2.930075
华固2-16,644857.9,3959877,734.6138,6.43499,5.30828,50.08674,44.06733,72.78754,22.84542,1.11982,9.282703,5.70918,0.826695,2.59236
华固20-1,644259.7,3964604,635.7516,6.711128,3.638729,59.66444,42.99599,67.83187,20.29933,1.097096,8.862958,6.957829,1.419989,2.082065
华固20-2,644491.5,3964372,642.6993,6.809191,3.779783,47.88808,59.78327,66.34208,20.98652,1.101835,9.108455,5.778093,0.962156,2.207942
华固20-4,645005,3964235,659.3416,6.824716,4.867162,32.77995,76.37544,60.53828,24.01565,1.114649,9.374899,4.769349,0.495404,2.918287
华固20-5,645292.3,3963949,661.6436,6.82184,5.039548,34.09487,79.94508,70.87837,25.59963,0.905537,9.559999,3.790025,0.314733,3.376297
华固20-6,645603.3,3963851,680.4808,6.812003,4.926722,53.15302,83.02836,62.02732,23.29586,1.001311,9.067161,3.522702,0.230468,2.725641
华固20-7,645686.6,3963528,672.1125,6.735092,4.768778,37.41514,77.02327,36.58492,25.3922,1.064277,9.353679,3.830667,0.327914,3.258787
华固20-8,645773,3963274,643.5862,6.917998,4.557937,44.28097,68.44884,60.94658,23.15152,1.123291,9.29173,4.930871,0.686907,2.725402
华固21-1,644302.3,3964879,597.061,6.634034,4.024806,61.6128,53.78457,57.86703,19.81015,1.09809,8.988574,6.898764,1.455078,1.991172
华固21-3,644775.3,3964439,645.1263,6.821595,4.278572,48.37334,59.15939,64.94566,21.75333,1.114412,9.184032,5.552808,0.868132,2.375766
华固21-5,645241,3964380,661.3735,6.903845,5.065762,40.60126,67.03136,65.94456,26.50366,1.097561,9.37188,4.667356,0.505736,3.621876
华固21-6,645507.3,3964172,664.7202,6.955752,5.119104,47.49977,66.61152,62.00774,27.51704,1.119911,9.363139,4.203573,0.389806,3.957884
华固21-7,645825.2,3964036,676.9108,6.96998,4.84331,65.34008,73.87376,63.63825,24.99828,1.09132,9.009855,3.839406,0.295559,3.146761
华固21-8,645880.9,3963770,675.1302,6.793831,4.638509,45.47488,75.71854,51.6916,22.56933,1.026414,9.2331,3.836743,0.315889,2.623776
华固21-9,645980.9,3963481,664.2349,6.902634,4.248598,48.82835,65.30609,47.11842,20.06882,1.126326,9.277729,4.487612,0.509487,2.069179
华固22-1,644361.8,3965179,495.8146,6.32132,3.84309,67.68833,68.13235,63.93021,24.01235,1.097917,9.194523,7.55508,1.789345,2.987581
华固22-2,644559.5,3964960,573.7322,6.582627,4.209939,62.38448,58.63111,72.65771,19.57974,1.088086,9.070789,6.936432,1.493795,1.946165
华固22-3,644859.2,3964691,641.1147,6.793377,4.867221,50.08039,58.07277,72.09373,22.59768,1.119744,9.214792,5.466757,0.82703,2.535534
华固23-3,645295.1,3965167,648.2377,6.915259,5.38816,54.92923,49.55842,69.17928,24.79901,1.12034,9.264412,5.429758,0.772256,3.083497
华固23-5,645451,3964856,657.148,7.090315,5.315916,54.31675,44.72507,81.93142,23.42724,1.142231,9.362864,5.163095,0.632412,2.637225
华固24-3,645606.1,3965117,658.5618,6.986121,5.155528,56.81741,44.7083,61.04874,23.85793,1.06291,9.361214,5.305288,0.694304,2.826384
华固25-2,645668.9,3965567,655.2191,6.902762,5.303261,57.05428,47.08766,57.20273,23.96447,1.139967,9.331822,5.478102,0.792636,2.86058
华固25-3,645852.3,3965374,660.0682,6.947945,4.923343,57.9273,44.12733,72.45545,22.46866,1.141151,9.358045,5.370761,0.718428,2.459193
华固3-14,644694.2,3960312,711.4459,6.472634,5.484299,74.85641,59.0695,63.22012,20.68548,1.110001,9.320608,5.411687,0.750362,2.135661
华固3-15,645008.5,3960113,734.0314,6.376172,5.269739,61.64405,56.87747,75.62347,23.71378,1.122214,9.412244,4.805379,0.580797,2.809046
华固3-16,645329.6,3960037,760.6207,6.355259,6.302761,48.11964,57.03841,70.27403,22.88589,1.132982,9.298654,5.700818,0.751479,2.600363
华固3-17,645806.3,3959713,751.8433,6.744496,4.540058,66.57645,55.10963,69.87695,22.79932,1.126145,9.26339,6.256736,0.991234,2.582146
华固3-18,646079.2,3959797,742.426,6.824997,4.403874,70.6335,56.91124,68.55234,19.22393,1.131123,9.24077,6.288011,0.986222,1.831998
华固4-12,643994.7,3960650,735.5765,6.898585,5.203896,75.5663,69.73563,83.32833,22.55171,1.114406,9.298115,5.903079,0.967433,2.551821
华固4-13,644420.2,3960620,742.0329,6.964717,5.046559,74.06064,71.52622,70.59521,19.96666,1.11147,9.354181,5.569934,0.806869,2.006577
华固4-15,645029.9,3960509,727.2241,6.566204,4.894221,71.44495,57.09501,81.25465,20.4051,1.12139,9.511117,4.309445,0.518124,2.083221
华固4-17,645563.3,3960188,755.789,6.504622,5.186647,58.05691,60.3855,70.48948,22.78719,1.124123,9.313519,5.758968,0.799421,2.590024
华固40-1,644146.6,3965434,540.9172,6.471543,3.741975,66.66359,59.96099,71.54974,19.55874,1.063256,9.071915,7.475464,1.734838,2.199644
华固40-15,644582.8,3965282,546.0697,6.49873,4.382373,64.93961,61.72106,70.25194,20.46045,1.035882,9.106701,7.199009,1.622283,2.239537
华固40-3,644162,3965956,626.2086,6.805515,3.782837,62.26547,46.40339,70.15479,20.19959,1.118045,8.893709,7.128572,1.566499,2.072215
华固40-4,644038.3,3966273,648.7103,6.887994,4.031774,61.19269,43.01539,80.51489,17.60589,1.087844,8.84773,7.102266,1.570282,1.615127
华固5-10,644272.1,3960852,739.593,6.907105,5.546278,77.82054,73.21577,74.94946,20.44524,1.119318,9.181221,6.402861,1.210582,2.161385
华固5-11,644554,3960925,737.0809,6.876551,5.127651,79.56353,73.34373,80.56609,14.84991,1.100797,9.16338,6.485811,1.223807,1.264716
华固5-14,645401.1,3960679,746.325,6.768126,5.096598,72.32811,67.2221,77.45539,17.30524,1.123647,9.343367,5.751163,0.824968,1.634078
华固5-16,645944.9,3960345,742.4805,6.941339,5.234199,76.95907,72.23135,69.77278,22.62657,1.114686,9.27827,6.248625,0.938249,2.540896
华固5-17,646185.4,3960260,720.501,6.844416,4.788792,79.02749,70.13852,70.24648,23.74346,1.119692,9.234405,6.258607,0.951414,2.842789
华固6-10,643966.4,3961438,692.2125,6.537845,5.394235,65.28796,65.33257,68.40897,23.39612,1.110326,9.308708,7.029401,1.480825,2.814329
华固6-11,644324.3,3961475,711.9071,6.720093,5.646388,76.11965,67.68345,76.11554,25.6741,1.110354,9.192762,6.619766,1.233023,3.529014
华固6-14,645223.1,3961912,565.5129,6.779465,4.672767,19.86582,70.71148,64.12301,16.36957,1.103427,8.989026,5.782166,0.700709,1.448518
华固6-15,644654.1,3961535,714.5839,6.736484,5.236305,79.26699,73.02383,74.66543,21.08734,1.113357,8.9451,7.102613,1.423631,2.372563
华固6-16,644638.7,3961860,654.114,6.638708,5.251359,70.03645,63.9992,66.84138,22.07173,1.114235,9.556203,6.058733,0.886204,2.505546
华固6-17,644869.2,3961987,642.1739,6.663563,5.528315,63.04535,72.01759,73.77703,20.11203,1.113049,9.046368,7.153723,1.438604,2.066983
华固6-19,644996.3,3961738,711.5012,6.326716,5.031969,61.79655,72.99974,68.72475,19.37235,1.120729,8.950461,6.809309,1.170228,1.923309
华固6-20,644943.2,3961483,703.0095,6.490631,4.873806,78.77644,71.6345,71.39103,12.85015,1.14521,8.90834,7.35603,1.58997,1.004734
华固6-21,644596.6,3961251,713.9402,6.94997,5.162622,77.99715,75.07916,68.50194,21.16772,1.117403,9.401335,5.525063,0.686338,2.402202
华固6-22,644947.7,3961193,760.0569,6.776763,4.934322,80.19607,76.9178,76.54328,15.92035,1.131509,8.95459,7.321993,1.569391,1.89463
华固6-24,645518.1,3960884,742.0543,6.973972,4.882061,77.0498,70.9047,62.83614,14.16818,1.165668,9.470216,5.585159,0.650969,1.75119
华固6-25,645827.9,3960570,784.7805,7.331365,5.143477,78.081,76.79707,65.41873,16.61615,1.125464,9.396821,6.250844,0.881881,1.121342
华固6-26,646179.2,3960971,691.205,6.327848,4.888564,84.26356,70.80592,75.48302,23.80705,1.122202,9.415758,6.983357,1.274702,1.394464
华固6-27,646332.4,3961224,647.2618,6.882031,4.602099,86.24248,68.1601,69.93523,21.98191,1.142234,8.997986,6.78756,1.16421,2.798792
华固6-28,646595.7,3961139,645.1832,6.719091,4.624572,91.21838,65.25899,70.68333,22.02448,1.122198,9.082837,7.300585,1.518009,2.361959
华固6-31,646591.8,3960652,656.1093,6.420274,4.329611,94.46803,74.34873,78.00847,20.55949,1.126588,8.681521,6.62427,1.059735,2.107908
华固6-7,644517.2,3962045,656.9821,6.326364,5.512648,72.1998,55.50294,63.04837,16.25263,1.147435,9.388764,7.112169,1.380461,1.460784
华固6-8,644018.3,3961680,671.5914,6.35602,5.34008,54.80616,64.84176,74.43355,24.36298,1.109589,9.391136,7.490822,1.742623,3.045653
华固6-9,644314,3961793,697.2281,6.439685,5.463476,75.61201,34.6031,63.7269,23.25103,1.111705,9.465385,5.35195,0.623108,2.724211
华固9-9,644174.3,3962818,503.6036,6.507331,4.513062,59.42162,81.10973,72.81564,22.62241,1.132011,8.779933,7.689354,1.854621,2.60492
华尧10-5,648061.6,3962465,589.9991,6.961336,4.550889,52.04029,62.45124,59.3835,22.31887,1.113167,9.369871,7.153008,1.443347,2.638714
华尧10-6,648035.8,3962160,580.5585,7.376952,4.330728,66.46033,68.40384,60.62273,22.32511,1.146653,9.20345,6.560477,1.107078,2.544492
华尧11-6,648292.9,3962250,579.3936,7.773566,4.442894,35.06213,80.52595,57.27238,22.5747,1.130451,9.286711,6.161627,0.869636,2.628575
华尧11-7,648217.6,3961984,558.4904,7.162613,4.227891,54.66039,59.5643,62.65525,20.0756,1.103878,9.425109,5.377591,0.60342,1.993555
华尧12-7,648453.9,3962080,594.0317,7.407916,4.461877,56.13982,68.69838,73.29112,22.8592,1.139667,8.762123,5.637617,0.665185,2.639191
华尧13-8,648699.5,3961850,585.2562,7.389558,4.402606,61.43762,65.91554,70.58586,19.25342,1.11617,9.18271,7.169805,1.455509,1.85783
华尧13-9,648702.6,3961497,599.7632,7.737865,4.253342,68.97945,29.69699,61.63898,20.415,1.110283,9.439256,5.414932,0.619651,2.220818
华尧14-10,649001.3,3961485,624.8914,6.885534,4.349759,59.14302,62.24687,67.70162,22.4975,1.117904,9.069702,6.739105,1.174551,2.60197
华尧14-9,648959.2,3961692,594.0272,7.644169,4.387122,54.11908,61.5604,64.45677,21.50921,1.099702,9.221977,7.273261,1.58334,2.347293
华尧15-10,649300,3961577,620.4988,7.214596,4.228442,76.21046,60.29403,69.92606,21.89114,1.08171,9.044639,7.578617,1.837738,2.392056
华尧15-11,649252.3,3961287,630.816,7.353475,4.129236,65.35056,71.52862,58.04122,18.16158,1.127638,9.454625,4.525109,0.425879,1.726961
华尧15-9,649170.6,3961857,601.5164,6.589479,4.39006,35.73157,65.01173,70.47278,22.48651,1.119341,9.079761,7.024204,1.331271,2.512657
华尧16-10,649591.9,3961631,609.1199,6.798361,4.206628,78.16629,32.60575,76.35786,21.34805,1.112165,9.119616,6.85384,1.24915,2.281495
华尧16-11,649635.6,3961399,606.5135,7.635765,4.007373,70.7138,59.73911,72.99492,19.68635,1.057639,9.776157,6.032036,0.835614,1.965888
华尧16-9,649500.7,3961916,597.5271,6.803362,4.338647,80.82816,76.48507,72.88904,22.88539,1.11082,8.733799,7.378744,1.561626,2.617577
华尧17-10,649893.1,3961554,608.6951,6.836155,4.063979,73.12244,69.92034,68.89278,19.95726,1.108458,9.272492,7.005548,1.328854,2.008556
华尧17-9,649767.1,3961868,600.5143,6.863324,4.237853,83.28079,61.36948,78.70484,20.26336,1.196356,9.022763,7.785646,2.016506,2.200593
华尧18-10,650141.1,3961477,579.1797,6.705461,4.011474,67.25939,72.98938,49.60757,18.63161,1.046391,9.951913,6.073108,0.82899,1.784124
华尧18-9,650059.1,3961813,597.6354,6.863133,4.092165,75.42448,70.65588,65.49592,20.09583,1.049736,9.313839,7.842528,2.056159,2.05085
华尧19-10,650429.2,3961391,580.8633,6.643833,3.94765,73.66345,72.74431,70.82428,17.41943,1.091914,9.052846,7.229884,1.466375,1.66464
华尧19-9,650300.7,3961655,592.6319,6.477942,3.907256,70.36493,71.82778,65.77187,18.54371,1.086715,9.302686,7.303125,1.52518,1.784235
华尧20-9,650590.8,3961595,582.9502,6.650084,3.818145,68.30288,36.15759,47.93059,19.75844,1.071494,9.33752,7.401741,1.590504,2.101738
华尧4-4,646251.1,3962340,553.2877,6.844327,4.322588,31.11535,70.78463,63.25113,22.16432,1.145934,9.160376,7.471519,1.660272,2.69567
华尧4-5,646371.5,3962122,538.0883,6.988785,4.302479,55.87251,61.58471,62.12086,22.48944,1.137476,9.040406,7.567962,1.77593,2.683317
华尧5-4,646577,3962482,567.0045,6.921948,4.478405,61.70022,64.7996,55.91164,16.99171,1.126317,9.04425,7.177407,1.43066,1.875908
华尧7-5,647251,3962123,618.1831,7.011741,5.004979,74.40989,66.52952,52.16044,20.61704,1.109897,8.785579,7.230236,1.456951,2.227655
华尧8-4,647498.5,3962519,690.0125,8.05737,4.735527,63.51867,73.69187,67.18027,24.23052,1.09217,8.680182,7.852911,2.118293,3.445503
华尧8-5,647517,3962235,609.9803,7.260902,4.752166,78.61148,72.89286,57.15262,24.27985,1.143731,8.753196,7.588188,1.878746,3.189518
华尧9-4,647792.3,3962562,638.2729,6.732039,4.690695,62.39856,85.46623,50.45741,24.34557,1.092301,9.169277,8.84009,3.478003,3.001659
华尧9-5,647870.9,3962325,583.0388,7.477727,4.450331,61.44941,71.0112,63.46355,22.89406,1.116843,9.12801,7.259569,1.569931,2.679771
华成1-10,635221.3,3949468,427.7024,5.039719,2.842621,87.12307,68.32529,53.88001,20.53435,1.515378,9.015672,7.107553,1.379913,2.11755
华成1-11,635515.9,3949628,435.4976,5.314338,2.806996,87.72141,70.99208,60.05458,19.92883,1.435281,8.987558,7.13552,1.486345,2.003295
华成1-12,636069.5,3949484,412.6534,2.901582,2.358608,85.50642,71.32964,40.90078,21.49269,1.434283,9.605022,5.913331,0.758182,2.30762
华成1-14,635662.4,3949388,482.8657,5.66063,2.554866,87.86666,71.8035,51.59246,22.09596,1.342506,8.867777,5.560502,0.621416,2.424589
华成1-15,635428.3,3949260,463.3413,5.280137,2.535565,86.95245,67.94988,54.89082,20.52272,1.473561,8.899382,6.367228,1.020917,2.120973
华成1-16,635118.9,3949099,465.0321,5.41602,2.504964,88.57434,72.35998,53.18079,18.48292,1.406414,8.829618,5.671258,0.676291,1.76707
华成1-18,635060.1,3948647,522.2147,5.586119,2.446881,84.77166,74.37941,47.17397,13.73969,1.184801,9.155853,4.943727,0.472256,1.155556
华成1-2,636637.3,3950433,300.162,5.482235,2.541109,89.14738,26.64054,62.59676,17.82606,1.130016,8.747144,5.530739,0.605456,1.654901
华成1-20,635493.8,3949027,476.3771,5.212922,2.5593,85.61533,63.92841,56.09493,18.27211,1.411134,8.893155,6.525791,1.100183,1.723731
华成1-21,635539.8,3948734,512.1626,5.102082,2.294431,88.51957,74.71175,58.29501,19.66933,1.627068,9.047434,7.002603,1.283563,1.949775
华成1-4,636116.2,3950093,391.6988,5.151125,2.582108,86.22228,55.05257,63.52266,20.09508,0.885117,8.904131,5.623817,0.65036,2.036833
华成1-6,635419.7,3949790,424.8007,5.357294,2.86416,88.56876,73.544,60.88419,20.35652,1.518891,9.071712,7.55699,1.760631,2.089702
华成1-7,635122.1,3949641,406.7108,5.092462,3.172541,86.53822,66.25927,60.04732,18.66343,1.43389,8.826708,6.923843,1.284873,1.815629
华成1-9,635003.4,3949247,459.2349,5.347811,2.608241,88.1437,71.22594,53.76587,16.78021,1.457901,8.856897,5.940635,0.809573,1.506756
华溪1-10,644972.6,3954971,541.1884,5.754907,4.477549,47.91108,61.10447,52.72634,24.35571,1.112629,9.375479,5.963556,0.980293,2.978535
华溪1-12,644946.1,3955210,555.2378,5.768473,4.586473,46.56519,56.05754,61.78625,23.01044,1.111068,9.356968,5.916907,0.964857,2.639131
华溪1-18,645320.6,3954949,573.1104,5.723112,4.292058,38.92231,55.61541,58.59772,22.22159,1.139356,9.451422,5.257915,0.658288,2.466287
华溪1-2,644810.4,3954759,510.0016,5.732209,4.252796,56.89235,66.16679,60.63396,21.79905,1.125726,9.025852,7.205404,1.653085,2.391478
华溪1-20,645309,3955235,617.5676,5.845202,4.512982,39.79219,45.454,67.19541,22.92209,1.121286,9.333305,5.163603,0.601123,2.618877
华溪1-4,644638.6,3955048,518.738,5.817099,4.459462,54.30917,60.36127,68.61432,23.09085,1.111951,9.21851,6.639067,1.319103,2.680257
华溪1-8,645105.3,3954699,527.0012,5.7232,3.970582,43.75779,66.00938,55.31708,23.35039,1.140199,9.514344,5.932174,0.918996,2.760455
华溪10-14,647506.1,3956698,719.3734,6.929521,3.935201,69.01757,59.29872,63.87534,17.91532,1.095343,9.319595,7.113468,1.538387,1.674796
华溪10-16,647201.6,3957298,720.3505,6.806171,4.197294,73.81245,67.37844,67.50695,20.71339,1.113917,9.261371,6.908616,1.330308,2.165835
华溪10-2,648738.7,3954929,508.4137,5.942663,3.467193,55.00644,63.48121,60.29813,13.99865,1.127395,8.972871,6.940746,1.345855,1.017596
华溪10-20,646789.3,3957862,705.1487,6.656018,3.401082,77.73398,63.79,57.78324,20.12506,1.074744,9.148656,6.54412,1.124612,1.917274
华溪10-24,646477.7,3958284,713.7382,6.525254,3.465958,77.48547,51.10099,62.58675,21.58848,1.107432,9.229442,6.653255,1.17598,2.379096
